coupon_bucket,implied_mbs_coupon,month,n_atrisk,n_prepay,smm,cpr
4.0,3.5,122023,395059,12016,0.03041571005849759,0.30971753596831875
4.0,3.5,122024,371811,12172,0.03273706264742033,0.3292903319596543
4.5,4.0,12020,17422,0,0.0,0.0
4.5,4.0,12021,68033,1266,0.018608616406743786,0.20180888752682513
4.5,4.0,12022,61993,1977,0.03189069733679609,0.322213803567734
4.5,4.0,12023,53471,2101,0.039292326681752726,0.38184823459875483
4.5,4.0,12024,50801,2126,0.041849569890356486,0.40130671558664754
4.5,4.0,12025,47174,2138,0.045321575444100565,0.42682756912289366
4.5,4.0,22020,33213,0,0.0,0.0
4.5,4.0,22021,66737,1355,0.02030357972339182,0.2181953410878148
4.5,4.0,22022,60633,1975,0.03257302129203569,0.3279240833014164
4.5,4.0,22023,53686,2115,0.039395745632008344,0.3826462809383431
4.5,4.0,22024,50569,2141,0.04233819138207202,0.40496019574809106
4.5,4.0,22025,46933,2136,0.04551168687277608,0.4281957453830325
4.5,4.0,32020,47291,0,0.0,0.0
4.5,4.0,32021,65272,1438,0.02203088613800711,0.234576714937904
4.5,4.0,32022,59375,1970,0.03317894736842105,0.33295799411345806
4.5,4.0,32023,54050,2118,0.039185938945420905,0.38102629254920506
